station_name,latitude,longitude,station_descriptive_name,red,blue,g,brn,p,pexp,y,pnk,o
Thorndale,41.990259,-87.659076,Thorndale (Red Line),True,False,False,False,False,False,False,False,False
UIC-Halsted,41.875474,-87.649707,UIC-Halsted (Blue Line),False,True,False,False,False,False,False,False,False
Washington,41.883164,-87.62944,Washington (Blue Line),False,True,False,False,False,False,False,False,False
Washington/Wabash,41.88322,-87.626189,"Washington/Wabash (Brown, Green, Orange, Purple & Pink Lines)",False,False,True,False,False,True,False,True,True
Washington/Wells,41.882695,-87.63378,"Washington/Wells (Brown, Orange, Purple & Pink Lines)",False,False,False,False,False,True,False,True,True
Wellington,41.936033,-87.653266,Wellington (Brown & Purple Lines),False,False,False,True,False,True,False,False,False
Western,41.804546,-87.684019,Western (Orange Line),False,False,False,False,False,False,False,False,True
Western,41.854225,-87.685129,Western (Pink Line),False,False,False,False,False,False,False,True,False
Western,41.966163,-87.688502,Western (Brown Line),False,False,False,True,False,False,False,False,False
Western,41.916157,-87.687364,Western (Blue Line - O'Hare Branch),False,True,False,False,False,False,False,False,False
Western,41.875478,-87.688436,Western (Blue Line - Forest Park Branch),False,True,False,False,False,False,False,False,False
Wilson,41.964273,-87.657588,Wilson (Red & Purple Lines),False,False,False,False,False,True,False,False,False
